,dates,long_ma_type,short_ma_type,long_window,long_to_short_ratio,rsi_bounds,z_score_centre,total_return_percent,volatility,max_drawdown,return_per_unit_risk
0,"['2022-04-01', '2022-06-30']",sma,sma,60,2,"[20, 80]",1.0,5.75567942126054,11.95602282659478,-20.300157381503592,0.48140418471414276
1,"['2022-04-01', '2022-06-30']",sma,sma,60,2,"[20, 80]",0.75,7.653377767583747,11.608042752197765,-17.955749155519385,0.6593168142953921
2,"['2022-04-01', '2022-06-30']",sma,sma,60,2,"[30, 70]",1.0,5.368758789943273,11.679360692116077,-19.676961076906387,0.4596791666488516
3,"['2022-04-01', '2022-06-30']",sma,sma,60,2,"[30, 70]",0.75,7.822498924964716,11.539657111293407,-17.492848097472237,0.677879667439091
4,"['2022-04-01', '2022-06-30']",sma,sma,60,2,"[40, 60]",1.0,7.722875752931002,11.465629001150933,-16.629391595807235,0.6735675602407657
5,"['2022-04-01', '2022-06-30']",sma,sma,60,2,"[40, 60]",0.75,8.78679367658799,11.284382828143771,-15.02897262117355,0.7786685200606028
6,"['2022-04-01', '2022-06-30']",sma,sma,60,3,"[20, 80]",1.0,4.493863081797289,11.907272146971827,-20.595842177813793,0.3774049191392788
7,"['2022-04-01', '2022-06-30']",sma,sma,60,3,"[20, 80]",0.75,5.382632244793584,11.580061826020131,-18.691754083577703,0.4648189556897644
8,"['2022-04-01', '2022-06-30']",sma,sma,60,3,"[30, 70]",1.0,4.879177163732118,11.660870973010011,-19.86455620220241,0.4184230470455724
9,"['2022-04-01', '2022-06-30']",sma,sma,60,3,"[30, 70]",0.75,6.204139128939801,11.462120214476744,-17.937580113421625,0.5412732559813782
10,"['2022-04-01', '2022-06-30']",sma,sma,60,3,"[40, 60]",1.0,4.8913202261938515,11.520562470030736,-17.937516053609773,0.42457303963395826
11,"['2022-04-01', '2022-06-30']",sma,sma,60,3,"[40, 60]",0.75,7.117156105264155,11.580816854150102,-15.921925392394561,0.6145642569862118
12,"['2022-04-01', '2022-06-30']",sma,sma,60,4,"[20, 80]",1.0,5.2454810042112054,11.869238677535279,-20.197507378145634,0.4419391290984185
13,"['2022-04-01', '2022-06-30']",sma,sma,60,4,"[20, 80]",0.75,5.716041703501884,11.455381021363511,-18.247179196810507,0.49898311482104807
14,"['2022-04-01', '2022-06-30']",sma,sma,60,4,"[30, 70]",1.0,4.408598279769005,11.672823030272472,-19.98679145454654,0.3776805549382254
15,"['2022-04-01', '2022-06-30']",sma,sma,60,4,"[30, 70]",0.75,5.613301815978322,11.45686444241708,-17.76905720604313,0.4899509673166798
16,"['2022-04-01', '2022-06-30']",sma,sma,60,4,"[40, 60]",1.0,8.0115898893792,11.747413235986036,-18.266428351640567,0.6819875770469341
17,"['2022-04-01', '2022-06-30']",sma,sma,60,4,"[40, 60]",0.75,10.202988195339092,11.65735661711736,-16.28117643200535,0.8752402907840435
18,"['2022-04-01', '2022-06-30']",sma,sma,72,2,"[20, 80]",1.0,3.9970086964803864,11.71181082635549,-20.52103206491598,0.34128016202975037
19,"['2022-04-01', '2022-06-30']",sma,sma,72,2,"[20, 80]",0.75,3.615119546992074,11.60596749358899,-19.41987080567599,0.31148799520496906
20,"['2022-04-01', '2022-06-30']",sma,sma,72,2,"[30, 70]",1.0,3.0714953258747846,11.619800686203764,-20.91323772025067,0.26433287530668087
21,"['2022-04-01', '2022-06-30']",sma,sma,72,2,"[30, 70]",0.75,3.802197662288198,11.533391752971278,-19.286952923167707,0.3296686476732797
22,"['2022-04-01', '2022-06-30']",sma,sma,72,2,"[40, 60]",1.0,6.428645600769989,11.090412299045335,-16.691996842687768,0.5796579448469529
23,"['2022-04-01', '2022-06-30']",sma,sma,72,2,"[40, 60]",0.75,8.796010449753755,11.291310412627013,-16.22946723013446,0.7790070530624349
24,"['2022-04-01', '2022-06-30']",sma,sma,72,3,"[20, 80]",1.0,5.077328097404754,11.758213743307325,-20.350254966220447,0.43181117542575087
25,"['2022-04-01', '2022-06-30']",sma,sma,72,3,"[20, 80]",0.75,4.6912207882986445,11.61494202332453,-19.27540230157046,0.40389532542461043
26,"['2022-04-01', '2022-06-30']",sma,sma,72,3,"[30, 70]",1.0,5.296544936414427,11.573018491236448,-20.396385517894455,0.45766322247088626
27,"['2022-04-01', '2022-06-30']",sma,sma,72,3,"[30, 70]",0.75,5.860686514512947,11.532139790153293,-18.80427062425016,0.5082046021950835
28,"['2022-04-01', '2022-06-30']",sma,sma,72,3,"[40, 60]",1.0,8.62046791863278,11.441078228207642,-18.359122797481074,0.753466390726992
29,"['2022-04-01', '2022-06-30']",sma,sma,72,3,"[40, 60]",0.75,9.5681455512731,11.44519178996937,-16.67090309402954,0.8359969607201058
30,"['2022-04-01', '2022-06-30']",sma,sma,72,4,"[20, 80]",1.0,4.7760176754585215,11.696173006891994,-20.07129011330798,0.4083402043253159
31,"['2022-04-01', '2022-06-30']",sma,sma,72,4,"[20, 80]",0.75,5.882975963288373,11.538530853874533,-17.906944748944486,0.5098548539490123
32,"['2022-04-01', '2022-06-30']",sma,sma,72,4,"[30, 70]",1.0,5.00741151543902,11.597105346200316,-19.857810491621127,0.43178115279255025
33,"['2022-04-01', '2022-06-30']",sma,sma,72,4,"[30, 70]",0.75,6.373360712135345,11.499638950570153,-17.84374166320989,0.554222679471111
34,"['2022-04-01', '2022-06-30']",sma,sma,72,4,"[40, 60]",1.0,7.30438205537649,11.674579178883837,-17.17301022791535,0.6256655544885203
35,"['2022-04-01', '2022-06-30']",sma,sma,72,4,"[40, 60]",0.75,7.6922707101942045,11.699363001678218,-16.79456880688524,0.6574948319058725
36,"['2022-04-01', '2022-06-30']",sma,sma,84,2,"[20, 80]",1.0,3.742712554216965,11.673705890538026,-19.942724494727226,0.3206104890179367
37,"['2022-04-01', '2022-06-30']",sma,sma,84,2,"[20, 80]",0.75,3.366401875751124,11.658431111212419,-19.350760891869847,0.28875256401468197
38,"['2022-04-01', '2022-06-30']",sma,sma,84,2,"[30, 70]",1.0,3.6300369778105024,11.501738360491832,-19.95314115236051,0.31560768155530156
39,"['2022-04-01', '2022-06-30']",sma,sma,84,2,"[30, 70]",0.75,4.535243661189536,11.543426393962209,-18.73462744113074,0.3928853969703221
40,"['2022-04-01', '2022-06-30']",sma,sma,84,2,"[40, 60]",1.0,6.191751600956263,11.353189923167479,-17.923984289709384,0.5453754973587898
41,"['2022-04-01', '2022-06-30']",sma,sma,84,2,"[40, 60]",0.75,7.276850416513003,11.752577667011831,-18.6079747885739,0.6191705873119483
42,"['2022-04-01', '2022-06-30']",sma,sma,84,3,"[20, 80]",1.0,4.307421642057796,11.649723194019291,-20.170126030840077,0.36974454846009824
43,"['2022-04-01', '2022-06-30']",sma,sma,84,3,"[20, 80]",0.75,3.4599352041389198,11.5767884080558,-20.0741087681425,0.29886831150263543
44,"['2022-04-01', '2022-06-30']",sma,sma,84,3,"[30, 70]",1.0,2.8550514854280395,11.513092535606049,-20.70597689652003,0.24798302251096688
45,"['2022-04-01', '2022-06-30']",sma,sma,84,3,"[30, 70]",0.75,2.8049348194230994,11.50691238254391,-20.322939304180164,0.24376085662025299
46,"['2022-04-01', '2022-06-30']",sma,sma,84,3,"[40, 60]",1.0,6.183732950822574,11.168482200762742,-16.97739010372183,0.5536771102523009
47,"['2022-04-01', '2022-06-30']",sma,sma,84,3,"[40, 60]",0.75,6.417417167659334,11.401344634364682,-17.461785638693307,0.5628649403612149
48,"['2022-04-01', '2022-06-30']",sma,sma,84,4,"[20, 80]",1.0,5.087661665917964,11.628341093914788,-19.722955674121074,0.4375225687678169
49,"['2022-04-01', '2022-06-30']",sma,sma,84,4,"[20, 80]",0.75,4.088451985747121,11.53916378222598,-19.019924615209767,0.35431094166846394
50,"['2022-04-01', '2022-06-30']",sma,sma,84,4,"[30, 70]",1.0,4.114542391018916,11.468890555611434,-20.382086395635802,0.3587567926529542
51,"['2022-04-01', '2022-06-30']",sma,sma,84,4,"[30, 70]",0.75,2.7568872199112304,11.499527365483617,-20.29286133133915,0.2397391764279078
52,"['2022-04-01', '2022-06-30']",sma,sma,84,4,"[40, 60]",1.0,5.165638089930558,11.257550493605798,-18.119113657324963,0.45885986412982116
53,"['2022-04-01', '2022-06-30']",sma,sma,84,4,"[40, 60]",0.75,6.479731047404136,11.27152262519143,-17.214764034144117,0.5748762844979063
54,"['2022-04-01', '2022-06-30']",sma,sma,96,2,"[20, 80]",1.0,1.371331335414805,11.553564583135675,-20.47224470394699,0.11869335437969405
55,"['2022-04-01', '2022-06-30']",sma,sma,96,2,"[20, 80]",0.75,1.7638384049944333,11.429821511414216,-18.394205465704363,0.15431898067988228
56,"['2022-04-01', '2022-06-30']",sma,sma,96,2,"[30, 70]",1.0,0.7218041125931496,11.448738930480635,-20.544250970321208,0.06304660425712469
57,"['2022-04-01', '2022-06-30']",sma,sma,96,2,"[30, 70]",0.75,1.966189209187652,11.406911120424503,-18.448321555532452,0.17236824136089887
58,"['2022-04-01', '2022-06-30']",sma,sma,96,2,"[40, 60]",1.0,1.0547260114900814,11.2155049600005,-18.822406167636355,0.09404177656304424
59,"['2022-04-01', '2022-06-30']",sma,sma,96,2,"[40, 60]",0.75,1.8686414443010335,11.061291681044096,-18.215749035081732,0.1689351929398402
60,"['2022-04-01', '2022-06-30']",sma,sma,96,3,"[20, 80]",1.0,3.0248780163464994,11.569569531358978,-20.637456988082146,0.2614512154620495
61,"['2022-04-01', '2022-06-30']",sma,sma,96,3,"[20, 80]",0.75,2.7479151143013247,11.392992102553128,-18.71862065172918,0.24119345379740295
62,"['2022-04-01', '2022-06-30']",sma,sma,96,3,"[30, 70]",1.0,2.5213972710950383,11.446261476245567,-20.77069799631454,0.22028129239644711
